,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
32,USGS,02085070,2018-10-29 07:45,EDT,137,P,2.41,P
33,USGS,02085070,2018-10-29 08:00,EDT,135,P,2.40,P
34,USGS,02085070,2018-10-29 08:15,EDT,133,P,2.39,P
35,USGS,02085070,2018-10-29 08:30,EDT,133,P,2.39,P
36,USGS,02085070,2018-10-29 08:45,EDT,135,P,2.40,P
37,USGS,02085070,2018-10-29 09:00,EDT,133,P,2.39,P
38,USGS,02085070,2018-10-29 09:15,EDT,132,P,2.38,P
39,USGS,02085070,2018-10-29 09:30,EDT,132,P,2.38,P
40,USGS,02085070,2018-10-29 09:45,EDT,132,P,2.38,P
41,USGS,02085070,2018-10-29 10:00,EDT,132,P,2.38,P
42,USGS,02085070,2018-10-29 10:15,EDT,130,P,2.37,P
43,USGS,02085070,2018-10-29 10:30,EDT,130,P,2.37,P
44,USGS,02085070,2018-10-29 10:45,EDT,130,P,2.37,P
45,USGS,02085070,2018-10-29 11:00,EDT,130,P,2.37,P
46,USGS,02085070,2018-10-29 11:15,EDT,128,P,2.36,P
47,USGS,02085070,2018-10-29 11:30,EDT,128,P,2.36,P
48,USGS,02085070,2018-10-29 11:45,EDT,126,P,2.35,P
49,USGS,02085070,2018-10-29 12:00,EDT,126,P,2.35,P
50,USGS,02085070,2018-10-29 12:15,EDT,126,P,2.35,P
51,USGS,02085070,2018-10-29 12:30,EDT,125,P,2.34,P
52,USGS,02085070,2018-10-29 12:45,EDT,126,P,2.35,P
53,USGS,02085070,2018-10-29 13:00,EDT,125,P,2.34,P
54,USGS,02085070,2018-10-29 13:15,EDT,125,P,2.34,P
55,USGS,02085070,2018-10-29 13:30,EDT,123,P,2.33,P
56,USGS,02085070,2018-10-29 13:45,EDT,123,P,2.33,P
57,USGS,02085070,2018-10-29 14:00,EDT,123,P,2.33,P
58,USGS,02085070,2018-10-29 14:15,EDT,121,P,2.32,P
59,USGS,02085070,2018-10-29 14:30,EDT,120,P,2.31,P
60,USGS,02085070,2018-10-29 14:45,EDT,121,P,2.32,P
61,USGS,02085070,2018-10-29 15:00,EDT,120,P,2.31,P
62,USGS,02085070,2018-10-29 15:15,EDT,120,P,2.31,P
63,USGS,02085070,2018-10-29 15:30,EDT,118,P,2.30,P
64,USGS,02085070,2018-10-29 15:45,EDT,118,P,2.30,P
65,USGS,02085070,2018-10-29 16:00,EDT,118,P,2.30,P
66,USGS,02085070,2018-10-29 16:15,EDT,118,P,2.30,P
67,USGS,02085070,2018-10-29 16:30,EDT,116,P,2.29,P
68,USGS,02085070,2018-10-29 16:45,EDT,116,P,2.29,P
69,USGS,02085070,2018-10-29 17:00,EDT,116,P,2.29,P
70,USGS,02085070,2018-10-29 17:15,EDT,115,P,2.28,P
71,USGS,02085070,2018-10-29 17:30,EDT,115,P,2.28,P
72,USGS,02085070,2018-10-29 17:45,EDT,115,P,2.28,P
73,USGS,02085070,2018-10-29 18:00,EDT,115,P,2.28,P
74,USGS,02085070,2018-10-29 18:15,EDT,113,P,2.27,P
75,USGS,02085070,2018-10-29 18:30,EDT,113,P,2.27,P
76,USGS,02085070,2018-10-29 18:45,EDT,113,P,2.27,P
77,USGS,02085070,2018-10-29 19:00,EDT,113,P,2.27,P
78,USGS,02085070,2018-10-29 19:15,EDT,113,P,2.27,P
79,USGS,02085070,2018-10-29 19:30,EDT,112,P,2.26,P
80,USGS,02085070,2018-10-29 19:45,EDT,112,P,2.26,P
81,USGS,02085070,2018-10-29 20:00,EDT,112,P,2.26,P
82,USGS,02085070,2018-10-29 20:15,EDT,112,P,2.26,P
83,USGS,02085070,2018-10-29 20:30,EDT,112,P,2.26,P
84,USGS,02085070,2018-10-29 20:45,EDT,110,P,2.25,P
85,USGS,02085070,2018-10-29 21:00,EDT,110,P,2.25,P
86,USGS,02085070,2018-10-29 21:15,EDT,110,P,2.25,P
87,USGS,02085070,2018-10-29 21:30,EDT,109,P,2.24,P
88,USGS,02085070,2018-10-29 21:45,EDT,109,P,2.24,P
89,USGS,02085070,2018-10-29 22:00,EDT,109,P,2.24,P
90,USGS,02085070,2018-10-29 22:15,EDT,109,P,2.24,P
91,USGS,02085070,2018-10-29 22:30,EDT,107,P,2.23,P
92,USGS,02085070,2018-10-29 22:45,EDT,107,P,2.23,P
93,USGS,02085070,2018-10-29 23:00,EDT,107,P,2.23,P
94,USGS,02085070,2018-10-29 23:15,EDT,107,P,2.23,P
95,USGS,02085070,2018-10-29 23:30,EDT,106,P,2.22,P
96,USGS,02085070,2018-10-29 23:45,EDT,106,P,2.22,P
97,USGS,02085070,2018-10-30 00:00,EDT,106,P,2.22,P
98,USGS,02085070,2018-10-30 00:15,EDT,106,P,2.22,P
99,USGS,02085070,2018-10-30 00:30,EDT,104,P,2.21,P
100,USGS,02085070,2018-10-30 00:45,EDT,104,P,2.21,P
101,USGS,02085070,2018-10-30 01:00,EDT,104,P,2.21,P
102,USGS,02085070,2018-10-30 01:15,EDT,104,P,2.21,P
103,USGS,02085070,2018-10-30 01:30,EDT,103,P,2.20,P
104,USGS,02085070,2018-10-30 01:45,EDT,103,P,2.20,P
105,USGS,02085070,2018-10-30 02:00,EDT,103,P,2.20,P
106,USGS,02085070,2018-10-30 02:15,EDT,103,P,2.20,P
107,USGS,02085070,2018-10-30 02:30,EDT,101,P,2.19,P
108,USGS,02085070,2018-10-30 02:45,EDT,101,P,2.19,P
109,USGS,02085070,2018-10-30 03:00,EDT,101,P,2.19,P
110,USGS,02085070,2018-10-30 03:15,EDT,101,P,2.19,P
111,USGS,02085070,2018-10-30 03:30,EDT,99.8,P,2.18,P
112,USGS,02085070,2018-10-30 03:45,EDT,99.8,P,2.18,P
113,USGS,02085070,2018-10-30 04:00,EDT,99.8,P,2.18,P
114,USGS,02085070,2018-10-30 04:15,EDT,99.8,P,2.18,P
115,USGS,02085070,2018-10-30 04:30,EDT,97.9,P,2.17,P
116,USGS,02085070,2018-10-30 04:45,EDT,97.9,P,2.17,P
117,USGS,02085070,2018-10-30 05:00,EDT,97.9,P,2.17,P
118,USGS,02085070,2018-10-30 05:15,EDT,97.9,P,2.17,P
119,USGS,02085070,2018-10-30 05:30,EDT,96.0,P,2.16,P
120,USGS,02085070,2018-10-30 05:45,EDT,96.0,P,2.16,P
121,USGS,02085070,2018-10-30 06:00,EDT,96.0,P,2.16,P
122,USGS,02085070,2018-10-30 06:15,EDT,96.0,P,2.16,P
123,USGS,02085070,2018-10-30 06:30,EDT,96.0,P,2.16,P
124,USGS,02085070,2018-10-30 06:45,EDT,94.2,P,2.15,P
125,USGS,02085070,2018-10-30 07:00,EDT,94.2,P,2.15,P
126,USGS,02085070,2018-10-30 07:15,EDT,94.2,P,2.15,P
127,USGS,02085070,2018-10-30 07:30,EDT,94.2,P,2.15,P
128,USGS,02085070,2018-10-30 07:45,EDT,94.2,P,2.15,P
129,USGS,02085070,2018-10-30 08:00,EDT,94.2,P,2.15,P
130,USGS,02085070,2018-10-30 08:15,EDT,94.2,P,2.15,P
131,USGS,02085070,2018-10-30 08:30,EDT,92.4,P,2.14,P
132,USGS,02085070,2018-10-30 08:45,EDT,92.4,P,2.14,P
133,USGS,02085070,2018-10-30 09:00,EDT,92.4,P,2.14,P
134,USGS,02085070,2018-10-30 09:15,EDT,92.4,P,2.14,P
135,USGS,02085070,2018-10-30 09:30,EDT,92.4,P,2.14,P
136,USGS,02085070,2018-10-30 09:45,EDT,92.4,P,2.14,P
137,USGS,02085070,2018-10-30 10:00,EDT,92.4,P,2.14,P
138,USGS,02085070,2018-10-30 10:15,EDT,92.4,P,2.14,P
139,USGS,02085070,2018-10-30 10:30,EDT,92.4,P,2.14,P
140,USGS,02085070,2018-10-30 10:45,EDT,92.4,P,2.14,P
141,USGS,02085070,2018-10-30 11:00,EDT,92.4,P,2.14,P
142,USGS,02085070,2018-10-30 11:15,EDT,90.6,P,2.13,P
143,USGS,02085070,2018-10-30 11:30,EDT,90.6,P,2.13,P
144,USGS,02085070,2018-10-30 11:45,EDT,92.4,P,2.14,P
145,USGS,02085070,2018-10-30 12:00,EDT,90.6,P,2.13,P
146,USGS,02085070,2018-10-30 12:15,EDT,90.6,P,2.13,P
147,USGS,02085070,2018-10-30 12:30,EDT,90.6,P,2.13,P
148,USGS,02085070,2018-10-30 12:45,EDT,90.6,P,2.13,P
149,USGS,02085070,2018-10-30 13:00,EDT,90.6,P,2.13,P
150,USGS,02085070,2018-10-30 13:15,EDT,90.6,P,2.13,P
151,USGS,02085070,2018-10-30 13:30,EDT,90.6,P,2.13,P
152,USGS,02085070,2018-10-30 13:45,EDT,88.9,P,2.12,P
153,USGS,02085070,2018-10-30 14:00,EDT,88.9,P,2.12,P
154,USGS,02085070,2018-10-30 14:15,EDT,90.6,P,2.13,P
155,USGS,02085070,2018-10-30 14:30,EDT,90.6,P,2.13,P
156,USGS,02085070,2018-10-30 14:45,EDT,88.9,P,2.12,P
157,USGS,02085070,2018-10-30 15:00,EDT,88.9,P,2.12,P
158,USGS,02085070,2018-10-30 15:15,EDT,88.9,P,2.12,P
159,USGS,02085070,2018-10-30 15:30,EDT,88.9,P,2.12,P
160,USGS,02085070,2018-10-30 15:45,EDT,88.9,P,2.12,P
161,USGS,02085070,2018-10-30 16:00,EDT,88.9,P,2.12,P
162,USGS,02085070,2018-10-30 16:15,EDT,87.2,P,2.11,P
